角色,内容,开始时间,结束时间,分镜
阿七,今天穿了前两天刚买的新衣服,"0:00:00,660","0:00:03,360",0
阿七,是不是很好看呀宝宝,"0:00:03,360","0:00:05,040",0
阿七,哇 入冬第一天,"0:00:05,040","0:00:06,680",1
阿七,天气这么好,"0:00:06,680","0:00:07,760",1
阿七,适合包饺子,"0:00:07,760","0:00:09,040",1
阿七,宝宝喜欢吃什么馅的,"0:00:09,040","0:00:10,540",2
阿七,看我包的爱心饺子厉不厉害,"0:00:10,540","0:00:12,880",3
阿七,咕嘟咕嘟咕嘟咕嘟,"0:00:12,880","0:00:14,380",4
阿七,今天要吃饺子,"0:00:14,380","0:00:16,080",4
阿七,还要踩小人哦,"0:00:16,080","0:00:17,440",5
阿七,踩走没蕴,"0:00:17,440","0:00:18,360",6
阿七,踩走那些在背后欺负宝宝的小人,"0:00:18,360","0:00:21,180",6
阿七,我踩我踩我踩我踩,"0:00:21,180","0:00:23,240",6
阿七,怎么会这样,"0:00:23,240","0:00:25,380",7
阿七,我给宝宝包的爱心,"0:00:28,420","0:00:30,660",7
阿七,就像我的喜欢一样露馅了,"0:00:30,660","0:00:34,360",7
阿七,宝宝这是我第一次给你包饺子,"0:00:34,360","0:00:36,400",8
阿七,你不会嫌弃我吧,"0:00:36,400","0:00:38,700",9
阿七,作为补偿,"0:00:38,700","0:00:40,140",10
阿七,给你讲个小故事,"0:00:40,140","0:00:41,500",10
阿七,你找女朋友的标准是什么,"0:00:41,500","0:00:44,560",10
阿七,我们最好有些相似之处,"0:00:44,560","0:00:46,640",10
阿七,嘿,"0:00:46,640","0:00:47,160",10
阿七,那宝宝找女朋友的标准是什么呀,"0:00:47,160","0:00:51,600",11
