角色,内容,开始时间,结束时间,分镜
阿七,报告,"0:00:00,060","0:00:00,600",0
阿七,宝宝我今天打高铁上班,"0:00:00,600","0:00:02,440",0
阿七,你听我这刚起床的声音,"0:00:02,440","0:00:04,260",0
阿七,是不是很有磁性,"0:00:04,260","0:00:05,520",0
阿七,真服了,"0:00:05,520","0:00:07,080",1
阿七,怎么就一个耳机,"0:00:07,080","0:00:08,440",1
阿七,他怎么样关你屁事,"0:00:08,440","0:00:14,560",5
阿七,他哭晕在我家了你满意了,"0:00:14,560","0:00:16,460",5
阿七,可以可以,"0:00:16,460","0:00:18,520",5
阿七,可以可以,"0:00:18,520","0:00:18,920",5
阿七,宝宝你看大城市,"0:00:18,920","0:00:22,180",6
阿七,宝宝你看是小跑车,"0:00:22,180","0:00:25,000",7
阿七,等我有钱给你买,"0:00:25,000","0:00:26,020",7
阿七,宝宝这个冰淇淋,"0:00:26,020","0:00:27,320",8
阿七,78块钱,"0:00:27,320","0:00:28,460",8
阿七,好,"0:00:28,460","0:00:28,960",8
阿七,好,"0:00:30,540","0:00:31,020",9
阿七,世界上有两种东西不能指示,"0:00:31,020","0:00:33,020",9
阿七,一是太阳,"0:00:33,020","0:00:34,000",9
阿七,二是人性,"0:00:34,000","0:00:35,000",9
阿七,还有一样宝宝你知道是什么吗,"0:00:35,000","0:00:37,520",9
阿七,钱包鱼鹅,"0:00:37,520","0:00:39,400",9
阿七,好吓人啊,"0:00:39,400","0:00:41,140",10
阿七,这好像小怪兽,"0:00:41,140","0:00:42,040",11
阿七,宝宝你看那是什么,"0:00:42,040","0:00:43,320",12
阿七,闭上闭上心,"0:00:43,320","0:00:46,240",12
阿七,努力工作,"0:00:46,240","0:00:48,360",13
阿七,成为富婆,"0:00:48,360","0:00:49,660",13
阿七,冲呀,"0:00:49,660","0:00:50,520",13
