角色,内容,开始时间,结束时间,分镜
兔兔没有牙,今天是温柔长裙风,"0:00:00,560","0:00:02,720",0
兔兔没有牙,"宝宝,你再不来我家找我玩的话","0:00:02,720","0:00:06,340",1
兔兔没有牙,这些花就全部凋谢了,"0:00:06,340","0:00:08,560",1
兔兔没有牙,你就看不到哦,"0:00:08,560","0:00:10,220",1
兔兔没有牙,"宝宝,你陪着我","0:00:10,220","0:00:11,980",2
兔兔没有牙,我们去做一件大胆的事情,"0:00:11,980","0:00:13,700",2
兔兔没有牙,我已经忍了很久了,"0:00:13,700","0:00:15,200",3
兔兔没有牙,我真的不想再吃丝瓜了,"0:00:15,200","0:00:17,340",3
兔兔没有牙,这根怎么又熟了,"0:00:17,340","0:00:19,200",3
兔兔没有牙,我要把它藏起来,"0:00:19,200","0:00:20,900",3
兔兔没有牙,这样大家就不知道了,"0:00:20,900","0:00:22,540",3
兔兔没有牙,他们为什么还要看花啊,"0:00:22,540","0:00:24,940",3
兔兔没有牙,那就别怪我辣手摧花吧,"0:00:24,940","0:00:27,320",3
兔兔没有牙,嘻嘻,"0:00:27,320","0:00:28,180",3
兔兔没有牙,宝宝你看,"0:00:28,960","0:00:29,820",4
兔兔没有牙,这个小狗走路怎么还是外八,"0:00:29,820","0:00:32,520",4
兔兔没有牙,好可爱,"0:00:32,520","0:00:33,780",4
兔兔没有牙,"宝宝,我弟弟给了我三颗糖","0:00:33,780","0:00:36,220",4
兔兔没有牙,这真的能吃吗,"0:00:36,220","0:00:37,640",4
兔兔没有牙,"我要吓死了,宝宝救命","0:00:37,640","0:00:39,960",4
兔兔没有牙,"小肚小肚,我在","0:00:39,960","0:00:41,260",4
兔兔没有牙,"宝宝,我给你剥了虾","0:00:41,260","0:00:44,280",5
兔兔没有牙,"你要全部吃掉哦,乖乖","0:00:44,280","0:00:46,200",5
兔兔没有牙,"宝宝,你想不想知道小鱼都在说什么","0:00:46,200","0:00:49,040",6
兔兔没有牙,我来告诉你吧,"0:00:49,040","0:00:50,320",6
