角色,内容,开始时间,结束时间,分镜
阿七,今天休息,"0:00:00,540","0:00:01,420",0
阿七,准备去西安保密,"0:00:01,420","0:00:04,100",0
阿七,喷个香香,"0:00:04,100","0:00:05,700",0
阿七,你猜我现在什么味道,"0:00:05,700","0:00:07,280",1
阿七,宝宝你看宝宝专属座椅,"0:00:07,280","0:00:09,520",1
阿七,来你坐下我推你,"0:00:09,520","0:00:11,060",1
阿七,大恐龙,"0:00:11,060","0:00:12,440",2
阿七,这个装修看起来,"0:00:12,440","0:00:14,400",3
阿七,宝宝我喜欢这个阳台,"0:00:14,400","0:00:16,980",3
阿七,可以种花花草草,"0:00:16,980","0:00:18,600",3
阿七,还能晒太阳,"0:00:18,600","0:00:19,940",3
阿七,电竞房,"0:00:19,940","0:00:21,300",4
阿七,宝宝我们可以搞一个双人的,"0:00:21,300","0:00:22,940",4
阿七,这样周末就可以转家打游戏了,"0:00:22,940","0:00:25,320",4
阿七,想想就好快乐,"0:00:25,320","0:00:27,120",4
阿七,茶香文具多,"0:00:27,120","0:00:28,440",5
阿七,让我来挑个漂亮的小盘子,"0:00:28,440","0:00:30,740",5
阿七,偷机检查在哪里在做什么,"0:00:30,740","0:00:33,220",6
阿七,有没有猜出我身上什么香啊,"0:00:33,220","0:00:35,320",6
阿七,小笨蛋是烟熏木制香,"0:00:35,320","0:00:37,960",6
阿七,我最喜欢的木香,"0:00:37,960","0:00:39,140",6
阿七,我教你一个擦香香的方法,"0:00:39,140","0:00:41,260",7
阿七,把你的手腕贴在我的手腕上,"0:00:41,260","0:00:43,420",8
阿七,然后你就也是香香的啦,"0:00:43,420","0:00:45,660",9
阿七,现在知道我什么味道了吗,"0:00:45,660","0:00:48,700",9
阿七,宝宝你看,"0:00:48,700","0:00:50,040",10
阿七,这是我精心准备了一整天的,"0:00:50,040","0:00:52,740",10
阿七,像不像你,"0:00:52,740","0:00:53,720",10
阿七,白天逛家具的时候,"0:00:53,720","0:00:55,760",10
阿七,我就特别特别特别特别香,"0:00:55,880","0:00:57,680",10
阿七,最好你有个家,"0:00:57,680","0:00:59,940",11
阿七,以后你要是漂泊累了,"0:00:59,940","0:01:03,720",11
阿七,就回家,"0:01:03,720","0:01:04,700",11
阿七,我做饭给你吃,"0:01:04,700","0:01:06,960",11
阿七,好不好呀宝宝,"0:01:06,960","0:01:08,600",11
阿七,就是我做的饭,"0:01:08,600","0:01:10,740",11
阿七,可能可能没有那么好吃吧宝宝,"0:01:10,740","0:01:12,960",11
