角色,内容,开始时间,结束时间,分镜
辰夕,到宿舍了,"0:00:00,240","0:00:01,100",0
辰夕,明天见,"0:00:01,100","0:00:04,600",0
辰夕,明天几点见,"0:00:04,600","0:00:06,240",0
辰夕,你想几点见就几点见,"0:00:06,240","0:00:08,800",0
辰夕,六点,"0:00:08,800","0:00:09,940",0
辰夕,六点,"0:00:09,940","0:00:11,000",0
辰夕,嗯,"0:00:11,000","0:00:11,280",0
辰夕,那明天六点我来接你,"0:00:11,280","0:00:13,680",0
辰夕,然后一起去吃个晚饭,"0:00:13,680","0:00:15,500",0
辰夕,嗯,"0:00:15,500","0:00:16,460",0
辰夕,早上六点,"0:00:16,460","0:00:17,800",0
辰夕,早上六点,"0:00:17,800","0:00:19,080",0
辰夕,嗯,"0:00:19,080","0:00:19,340",0
辰夕,那我回去干嘛,"0:00:19,340","0:00:20,620",0
辰夕,就在这打个地铺得了呗,"0:00:20,620","0:00:22,180",0
辰夕,那你感冒了怎么办,"0:00:22,180","0:00:23,700",1
辰夕,感冒了你照顾我啊,"0:00:23,700","0:00:26,040",1
辰夕,还不是因为你我才感冒的,"0:00:26,040","0:00:27,500",1
辰夕,我才不要你感冒呢,"0:00:27,500","0:00:29,120",1
辰夕,怎么就这么不想照顾我,"0:00:29,540","0:00:31,040",1
辰夕,不是,"0:00:31,040","0:00:32,120",1
辰夕,感冒了多难受啊,"0:00:32,120","0:00:33,660",1
辰夕,我不要你难受,"0:00:33,660","0:00:34,920",1
辰夕,那就早上六点,"0:00:34,920","0:00:36,940",1
辰夕,早上六点我来接你吃早餐,"0:00:36,940","0:00:39,000",1
辰夕,然后一起去图书馆自习,"0:00:39,000","0:00:40,960",1
辰夕,好,"0:00:40,960","0:00:41,420",1
辰夕,怎么了又,"0:00:41,420","0:00:43,420",2
辰夕,嗯,"0:00:43,420","0:00:44,900",2
辰夕,就是感觉有点闷闷的,"0:00:44,900","0:00:47,420",2
辰夕,哪里闷闷的,"0:00:47,420","0:00:49,060",2
辰夕,心里闷闷的,"0:00:49,060","0:00:51,040",2
辰夕,心里闷闷的,"0:00:51,040","0:00:52,760",2
辰夕,怎么了,"0:00:52,760","0:00:53,280",2
辰夕,不知道,"0:00:53,280","0:00:55,080",2
辰夕,可能就是有点想你,"0:00:55,080","0:00:58,120",2
辰夕,我在这呢嘛,"0:01:00,280","0:01:01,720",2
辰夕,宿舍楼梯也不远,"0:01:01,720","0:01:03,080",2
辰夕,睡一觉起来就能见到你,"0:01:03,080","0:01:04,880",2
辰夕,那我没睡着的时候,"0:01:04,880","0:01:06,240",2
辰夕,想起你怎么办,"0:01:06,240","0:01:07,440",2
辰夕,那你要是想我,"0:01:07,440","0:01:09,920",2
辰夕,就给我打电话,"0:01:09,920","0:01:11,060",3
辰夕,喂,"0:01:11,060","0:01:13,800",3
辰夕,喂,"0:01:13,800","0:01:15,860",3
辰夕,我想你了,"0:01:15,860","0:01:17,920",3
辰夕,说什么我听不清,"0:01:17,920","0:01:20,280",3
辰夕,我说我想你了,"0:01:20,280","0:01:23,440",3
辰夕,我说我想你了,"0:01:29,060","0:01:30,660",3
辰夕,我说我想你了,"0:01:30,660","0:01:31,680",3
辰夕,我说我想你了,"0:01:31,680","0:01:33,620",3
辰夕,我说我想你了,"0:01:33,620","0:01:35,440",3
