角色,内容,开始时间,结束时间,分镜
澈洌,早上好啊,"0:00:00,000","0:00:01,080",0
澈洌,背上我的大包,"0:00:01,080","0:00:02,320",0
澈洌,准备出去工作了,"0:00:02,320","0:00:04,020",0
澈洌,你看这棵树,"0:00:04,020","0:00:04,900",1
澈洌,它像不像一个爱心啊,"0:00:04,900","0:00:07,120",1
澈洌,嗯,"0:00:07,120","0:00:07,260",1
澈洌,笔芯,"0:00:07,260","0:00:08,500",1
澈洌,我到录音棚了啊,"0:00:08,500","0:00:11,380",2
澈洌,今天要录一个游戏,"0:00:11,380","0:00:12,600",2
澈洌,四个小时终于录完了,"0:00:12,600","0:00:15,840",3
澈洌,来吃这个嘎鱼锅,"0:00:15,840","0:00:17,800",3
澈洌,东北铁锅炖,"0:00:17,800","0:00:19,100",3
澈洌,我帮你看,"0:00:19,100","0:00:20,420",3
澈洌,拍婚纱照哎,"0:00:20,420","0:00:22,380",3
澈洌,我们什么时候拍啊,"0:00:22,380","0:00:24,240",3
澈洌,什么时候什么时候,"0:00:24,240","0:00:25,260",3
澈洌,我疯了你不要管我,"0:00:25,260","0:00:27,380",3
澈洌,今天的晚霞,"0:00:28,580","0:00:29,820",3
澈洌,是不是也很好看啊,"0:00:29,820","0:00:31,280",3
澈洌,嗯,"0:00:31,280","0:00:32,040",3
澈洌,睡前看了一会儿剧上头了,"0:00:32,040","0:00:35,860",5
澈洌,再看一会儿剧本,"0:00:35,860","0:00:37,640",5
澈洌,就睡觉了,"0:00:37,640","0:00:38,720",5
澈洌,晚安,"0:00:38,720","0:00:39,680",5
